ref_camp,camp_name,Total Families,Total Individuals
Camp 10 Total,Camp 10,6369,29909
Camp 11 Total,Camp 11,6143,29634
Camp 12 Total,Camp 12,5318,25675
Camp 13 Total,Camp 13,8827,41571
Camp 14 Total,Camp 14,6582,31936
Camp 15 Total,Camp 15,10467,49548
Camp 16 Total,Camp 16,4499,20842
Camp 17 Total,Camp 17,3784,16325
Camp 18 Total,Camp 18,6060,26972
Camp 19 Total,Camp 19,4805,22494
Camp 1E Total,Camp 1E,8515,37897
Camp 1W Total,Camp 1W,8386,38012
Camp 20 Total,Camp 20,1591,6845
Camp 20 Extension Total,Camp 20 Extension,1680,7167
Camp 21 Total,Camp 21,3810,16304
Camp 22 Total,Camp 22,4279,21188
Camp 23 Total,Camp 23,2371,10369
Camp 24 Total,Camp 24,5800,25986
Camp 25 Total,Camp 25,1487,7319
Camp 26 Total,Camp 26,9123,40653
Camp 27 Total,Camp 27,3234,14829
Camp 2E Total,Camp 2E,5939,25076
Camp 2W Total,Camp 2W,5435,23541
Camp 3 Total,Camp 3,8057,35572
Camp 4 Total,Camp 4,7014,29823
Camp 4 Extension Total,Camp 4 Extension,1448,6154
Camp 5 Total,Camp 5,5481,24413
Camp 6 Total,Camp 6,4836,22722
Camp 7 Total,Camp 7,8266,37101
Camp 8E Total,Camp 8E,6188,29234
Camp 8W Total,Camp 8W,6603,30647
Camp 9 Total,Camp 9,7180,32814
Kutupalong RC Total,Kutupalong RC,3137,16709
Nayapara RC Total,Nayapara RC,4906,23880
